1, Liam Smith, M, 28, USA, Boston, 02:23:45
2, Emma Johnson, F, 32, Canada, Toronto, 02:45:12
3, Noah Williams, M, 25, UK, London, 02:18:33
4, Olivia Brown, F, 29, Australia, Sydney, 02:56:07
5, Mason Jones, M, 35, USA, Chicago, 02:31:22
6, Sophia Garcia, F, 27, Spain, Madrid, 03:01:45
7, Ethan Miller, M, 31, Germany, Berlin, 02:28:19
8, Isabella Davis, F, 26, France, Paris, 02:52:34
9, Lucas Rodriguez, M, 33, Italy, Rome, 02:41:50
10, Amelia Martinez, F, 24, Mexico, Mexico City, 03:12:28
11, Oliver Wilson, M, 40, Canada, Vancouver, 02:36:15
12, Mia Anderson, F, 22, USA, Los Angeles, 02:59:44
13, James Taylor, M, 29, Australia, Melbourne, 02:19:57
14, Charlotte Thomas, F, 34, UK, Manchester, 02:48:23
15, Benjamin Jackson, M, 38, Germany, Munich, 02:33:08
16, Amelia White, F, 31, France, Lyon, 03:05:33
17, Elijah Harris, M, 26, Spain, Barcelona, 02:25:40
18, Evelyn Martin, F, 30, Italy, Milan, 02:53:19
19, Alexander Thompson, M, 45, USA, Houston, 02:39:27
20, Harper Moore, F, 28, Canada, Montreal, 03:08:52
21, Daniel Walker, M, 23, Mexico, Guadalajara, 02:44:11
22, Victoria Hall, F, 36, UK, Birmingham, 02:58:06
23, Matthew Allen, M, 41, Australia, Perth, 02:30:49
24, Scarlett Young, F, 27, Germany, Hamburg, 03:02:37
25, David King, M, 34, France, Marseille, 02:37:15
26, Grace Wright, F, 33, Spain, Valencia, 02:55:22
27, Joseph Scott, M, 39, USA, Phoenix, 02:26:48
28, Chloe Green, F, 25, Canada, Calgary, 03:09:44
29, Samuel Baker, M, 30, Italy, Naples, 02:42:03
30, Lily Adams, F, 37, UK, Glasgow, 02:49:56
31, John Nelson, M, 42, Germany, Cologne, 02:34:29
32, Zoe Carter, F, 29, Australia, Brisbane, 03:00:17
33, Wyatt Mitchell, M, 35, France, Nice, 02:27:34
34, Lillian Perez, F, 32, Mexico, Monterrey, 02:51:48
35, Jack Roberts, M, 27, USA, Seattle, 02:21:52
36, Avery Turner, F, 43, Canada, Ottawa, 03:06:41
37, Luke Phillips, M, 38, UK, Leeds, 02:38:25
38, Ella Campbell, F, 26, Spain, Seville, 02:57:13
39, Gabriel Parker, M, 44, Germany, Frankfurt, 02:32:07
40, Nora Evans, F, 31, Italy, Turin, 03:03:59
41, Isaac Edwards, M, 36, Australia, Adelaide, 02:29:46
42, Hannah Collins, F, 28, USA, Denver, 02:46:38
43, Caleb Stewart, M, 33, France, Toulouse, 02:35:21
44, Addison Sanchez, F, 39, Mexico, Puebla, 02:54:17
45, Ryan Morris, M, 47, Canada, Edmonton, 02:40:52
46, Layla Rogers, F, 34, UK, Liverpool, 03:07:28
47, Nathan Reed, M, 30, Germany, Stuttgart, 02:24:14
48, Peyton Cook, F, 41, Australia, Gold Coast, 02:50:30
49, Julian Morgan, M, 37, USA, Miami, 02:22:33
50, Aria Bell, F, 29, Spain, Malaga, 02:59:05
51, Christian Murphy, M, 46, France, Nantes, 02:43:29
52, Mila Bailey, F, 35, Italy, Florence, 02:56:48
53, Jonathan Rivera, M, 24, Mexico, Tijuana, 02:20:16
54, Sofia Cooper, F, 38, UK, Edinburgh, 03:04:37
55, Brandon Richardson, M, 43, USA, Austin, 02:38:52
56, Eleanor Cox, F, 27, Canada, Winnipeg, 02:58:41
57, Thomas Howard, M, 32, Germany, Dusseldorf, 02:27:55
58, Madison Ward, F, 40, Australia, Canberra, 03:11:23
59, Dylan Torres, M, 34, Spain, Zaragoza, 02:32:44
60, Grace Peterson, F, 29, France, Strasbourg, 02:54:36
61, Andrew Gray, M, 48, Italy, Bologna, 02:46:17
62, Emily Ramirez, F, 31, USA, Portland, 03:02:48
63, Joshua James, M, 26, Mexico, Leon, 02:25:22
64, Abigail Watson, F, 37, UK, Bristol, 02:59:59
65, Christopher Brooks, M, 39, Canada, Quebec City, 02:35:08
66, Elizabeth Kelly, F, 33, Germany, Leipzig, 03:06:14
67, Anthony Sanders, M, 42, Australia, Hobart, 02:41:33
68, Samantha Price, M, 30, France, Montpellier, 02:29:12
69, Andrew Bennett, M, 44, Spain, Bilbao, 02:37:49
70, Victoria Wood, F, 36, Italy, Genoa, 02:57:22
71, Nathan Barnes, M, 28, USA, Atlanta, 02:22:47
72, Anna Ross, F, 34, Mexico, Queretaro, 03:08:15
73, Zachary Henderson, M, 41, UK, Sheffield, 02:39:04
74, Sarah Coleman, F, 26, Canada, Hamilton, 02:55:48
75, David Jenkins, M, 37, Germany, Dresden, 02:33:51
76, Hailey Perry, F, 43, Australia, Newcastle, 03:01:29
77, Jose Powell, M, 31, France, Bordeaux, 02:28:37
78, Claire Long, F, 29, Spain, Alicante, 02:52:55
79, Jesse Patterson, M, 45, Italy, Venice, 02:42:22
80, Alice Hughes, F, 32, USA, Dallas, 02:59:32
81, Scott Flores, M, 35, Mexico, Merida, 02:31:44
82, Natalie Washington, F, 38, UK, Newcastle, 03:05:18
83, Eric Butler, M, 27, Canada, London, 02:24:38
84, Jocelyn Simmons, F, 41, Germany, Bonn, 02:56:09
85, Brian Foster, M, 39, Australia, Wollongong, 02:36:25
86, Maria Gonzales, F, 30, Spain, Cordoba, 03:00:42
87, Kyle Bryant, M, 46, France, Lille, 02:45:31
88, Stephanie Alexander, F, 33, Italy, Palermo, 02:58:17
89, Trevor Russell, M, 36, USA, San Francisco, 02:27:16
90, Autumn Griffin, F, 44, Mexico, Cancun, 03:09:33
91, Patrick Diaz, M, 29, UK, Nottingham, 02:21:08
92, Leah Hayes, F, 35, Canada, Halifax, 02:54:29
93, Sean Myers, M, 43, Germany, Essen, 02:38:47
94, Julia Ford, F, 31, Australia, Darwin, 03:02:55
95, Adam Hamilton, M, 38, Spain, Granada, 02:30:11
96, Kaitlyn Graham, F, 27, France, Rennes, 02:57:38
97, Peter Sullivan, M, 49, Italy, Bari, 02:47:24
